1.43E+12,-29,-58,23,53,11,7,-2,22,0
1.43E+12,-72,5,104,28,9,4,-22,-73,0
1.43E+12,44,28,82,0,-5,-4,-2,-1,0
1.43E+12,-36,-2,-65,-5,-2,-4,-25,-69,0
1.43E+12,50,39,43,39,12,-1,-19,-30,0
1.43E+12,-2,39,9,82,8,0,-1,59,0
1.43E+12,17,-3,6,-25,1,-5,-17,-64,0
1.43E+12,51,-17,-12,34,4,4,28,45,0
1.43E+12,-67,19,28,-18,-1,3,4,5,0
1.43E+12,-12,-11,15,11,4,3,-17,12,0
1.43E+12,18,58,87,-58,-9,0,40,110,0
1.43E+12,-44,3,22,-9,-7,-5,42,87,0
1.43E+12,18,3,1,88,4,8,44,66,0
1.43E+12,0,-17,-22,-100,-14,0,3,16,0
1.43E+12,-30,18,11,56,3,-6,-53,-126,0
1.43E+12,-10,15,-13,39,6,5,-3,-50,0
1.43E+12,-6,-2,49,1,-9,-9,-20,-73,0
1.43E+12,38,-1,-54,-24,-6,3,48,105,0
1.43E+12,-33,-8,-11,-21,-2,-4,-31,-79,0
1.43E+12,29,8,-3,2,5,3,-8,-29,0
1.43E+12,-31,35,26,-45,-12,-1,27,13,0
1.43E+12,-44,0,-23,-19,-13,-8,-28,-81,0
1.43E+12,25,-24,2,22,-2,1,7,-18,0
1.43E+12,93,39,82,10,8,2,1,9,0
1.43E+12,69,-6,57,72,11,10,71,82,0
1.43E+12,100,-18,-57,53,-1,-2,7,92,0
1.43E+12,-25,-23,-26,-11,4,0,-25,-57,0
1.43E+12,-12,-1,-42,-42,-14,-6,-5,64,0
1.43E+12,-51,6,40,45,23,8,-18,-108,0
1.43E+12,-34,-1,41,-56,-12,-6,-19,-39,0
1.43E+12,-53,-5,-24,-26,4,-6,-35,4,0
1.43E+12,-35,-8,-46,47,5,1,-8,-21,0
1.43E+12,-59,3,14,34,5,1,13,-25,0
1.43E+12,13,19,-39,8,10,4,-32,-66,0
1.43E+12,-3,5,-8,-38,0,-1,-21,-57,0
1.43E+12,3,-36,34,0,-5,-1,17,12,0
1.43E+12,1,8,20,5,0,0,16,28,0
1.43E+12,19,10,-7,84,12,7,5,-64,0
1.43E+12,-103,15,59,-10,-5,-13,-68,-99,0
1.43E+12,5,12,30,88,29,5,-8,-18,0
1.43E+12,24,9,-2,-42,-4,2,7,-2,0
1.43E+12,25,-42,-14,39,4,1,32,108,0
1.43E+12,67,13,35,34,18,13,50,36,0
1.43E+12,-18,11,-5,-36,-23,-13,-8,-3,0
1.43E+12,-42,-12,24,4,5,6,16,42,0
1.43E+12,-41,0,-21,36,-14,-5,9,12,0
1.43E+12,-13,-25,-19,29,-2,-2,-3,86,0
1.43E+12,8,21,-34,-17,2,2,-17,-39,0
1.43E+12,68,34,51,-15,6,5,52,127,0
1.43E+12,38,-34,-23,-14,7,0,-43,-96,0
1.43E+12,-37,-24,-52,41,2,-5,2,-27,0
1.43E+12,19,-14,1,-19,7,3,-6,-17,0
1.43E+12,-8,32,81,-13,-6,-6,-12,-2,0
1.43E+12,-75,-17,-30,-19,-14,-5,-20,-55,0
1.43E+12,23,0,-29,-3,4,2,0,-1,0
1.43E+12,-45,8,39,-5,19,12,17,18,0
1.43E+12,91,13,-46,-83,-12,-1,12,114,0
1.43E+12,19,31,25,49,10,3,-13,-60,0
1.43E+12,-16,-13,27,102,5,-6,-49,-114,0
1.43E+12,-83,-70,-45,18,-15,-8,-23,-47,0
1.43E+12,48,14,11,-1,-8,0,55,111,0
1.43E+12,-62,-16,20,-48,-24,-20,-62,-56,0
1.43E+12,-76,1,-38,-28,-4,-1,-6,-54,0
1.43E+12,70,-2,-97,-109,-9,-4,4,17,0
1.43E+12,7,0,-7,17,4,2,-1,-6,0
1.43E+12,-80,7,-36,2,5,9,52,125,0
1.43E+12,37,7,102,-31,5,6,8,5,0
1.43E+12,67,31,19,-1,-7,3,41,127,0
1.43E+12,32,24,-80,-10,-1,5,-10,-71,0
1.43E+12,24,-7,6,29,-7,-7,-20,-27,0
1.43E+12,7,7,16,-23,-2,1,2,-7,0
1.43E+12,54,28,36,-43,-7,-2,11,13,0
1.43E+12,27,-1,76,46,1,-4,-59,-66,0
1.43E+12,-34,13,41,-113,-24,-10,-19,-78,0
1.43E+12,-48,6,-43,-71,-9,-1,6,25,0
1.43E+12,23,14,-80,5,3,-3,4,42,0
1.43E+12,-50,-21,-6,-59,-13,-11,-52,-128,0
1.43E+12,-18,22,23,19,7,-2,-30,-125,0
1.43E+12,53,11,-51,9,7,2,2,44,0
1.43E+12,-6,-14,61,60,11,3,0,41,0
