1432962888276 ,-13,41,52,21,16,6,1,10,0
1432962888299 ,41,-13,-9,96,42,13,46,107,0
1432962888322 ,-13,-33,-53,-11,-15,-9,-6,-12,0
1432962888342 ,-32,17,88,4,-2,2,24,31,0
1432962888363 ,12,-24,-98,42,-29,-7,-8,-35,0
1432962888387 ,-35,3,0,-46,-20,-9,-47,-122,0
1432962888408 ,26,6,-1,67,8,6,21,30,0
1432962888465 ,-10,8,-96,-54,-19,7,52,-19,0
1432962888486 ,13,-10,-19,-46,-12,-6,11,46,0
1432962888508 ,-24,-42,-64,-48,-17,-5,1,-10,0
1432962888529 ,-79,-31,-8,-17,1,1,-4,-65,0
1432962888554 ,-63,-59,-54,-57,-39,-24,-45,-50,0
1432962888575 ,7,22,-38,63,-11,-4,19,101,0
1432962888596 ,32,16,-4,39,-7,2,34,83,0
1432962888617 ,-39,6,-18,7,-4,-9,-42,-74,0
1432962888638 ,-31,-21,62,99,13,-5,-43,-83,0
1432962888659 ,19,-21,-20,12,12,-4,-10,-27,0
1432962888681 ,-102,-50,-16,59,13,6,19,53,0
1432962888701 ,-29,9,78,38,25,8,29,73,0
1432962888721 ,-7,17,-14,-52,18,12,-13,-26,0
1432962888742 ,-12,47,26,61,26,9,-23,-53,0
1432962888762 ,23,9,-45,22,-4,-7,-22,-63,0
1432962888785 ,32,2,-21,12,-11,-2,13,16,0
1432962888805 ,15,20,13,-17,-7,-1,-1,4,0
1432962888826 ,63,3,-5,47,18,9,14,25,0
1432962888845 ,-102,-33,6,-87,-18,-6,-25,-22,0
1432962888871 ,77,22,36,26,5,5,28,46,0
1432962888891 ,-41,24,33,43,7,3,-34,-111,0
1432962888911 ,79,-9,39,24,-4,-10,-1,50,0
1432962888933 ,-14,-4,-17,12,12,5,-3,-8,0
1432962888953 ,-101,-42,-22,21,8,3,45,92,0
1432962888975 ,9,-42,-89,-9,-26,-15,-26,-6,0
1432962888998 ,-37,9,-23,-27,-25,-9,-14,-17,0
1432962889018 ,-11,5,32,-70,1,8,9,-59,0
1432962889039 ,-40,49,80,114,39,23,42,51,0
1432962889058 ,35,-53,-67,-60,-59,-27,-48,-103,0
1432962889081 ,66,-13,-22,-15,1,0,20,68,0
1432962889105 ,84,-36,-91,-63,-9,0,14,81,0
1432962889126 ,7,-22,-61,-50,-14,-6,-1,39,0
1432962889146 ,-23,-45,-17,-61,-27,-15,-22,-12,0
1432962889172 ,39,28,-29,-6,-6,3,39,63,0
